“S”,“L”,“U”,“R”,“B”,“T”
-0.000789053739099,-0.018759483970144,-1.67484644432995,1.5707963267949,-1.38777878078145E-17,-0.069813170079773
-0.000755401532685,-0.019549849504683,-1.67277351190568,1.5707963267949,-1.38777878078145E-17,-0.05235987755983
-0.000755201935544,-0.019839074923254,-1.67202811200819,1.5707963267949,-1.38777878078145E-17,-0.034906585039887
-0.000326735464554,-0.015726484642788,-1.67579510154996,1.5707963267949,-1.38777878078145E-17,-0.017453292519943
0,-0.015701836602552,-1.6754963267949,1.5707963267949,-1.38777878078145E-17,-1.38777878078145E-17
0.001026781073239,-0.015190791570789,-1.67556926638301,1.5707963267949,-1.38777878078145E-17,0.017453292519943
0.0009026754616,-0.011658228903492,-1.6781739757116,1.5707963267949,-1.38777878078145E-17,0.034906585039887
0.000902508804099,-0.01055050654418,-1.67894644583098,1.5707963267949,-1.38777878078145E-17,0.05235987755983
0.002131104595506,-0.009877452034074,-1.67956976299755,1.5707963267949,-1.38777878078145E-17,0.069813170079773
0.009246239411346,-0.022321644896835,-1.67194033476276,1.5707963267949,0.017453292519943,-0.087266462599717
0.008909269814568,-0.020819135158194,-1.67272236694528,1.5707963267949,0.017453292519943,-0.069813170079773
0.010626288860172,-0.017920583775147,-1.67480275830981,1.5707963267949,0.017453292519943,-0.05235987755983
0.01096439654995,-0.017369934797114,-1.67508029399562,1.5707963267949,0.017453292519943,-0.034906585039887
0.01084694334828,-0.01793567544959,-1.67290224358839,1.5707963267949,0.017453292519943,-0.017453292519943
0.011878960358955,-0.014861607412659,-1.67694265277704,1.5707963267949,0.017453292519943,-1.38777878078145E-17
0.011786630444338,-0.01333031847213,-1.67797650805134,1.5707963267949,0.017453292519943,0.017453292519943
0.012611526312073,-0.012037220250945,-1.67710909209622,1.5707963267949,0.017453292519943,0.034906585039887
0.01182639598588,-0.011410864106656,-1.67858529097702,1.5707963267949,0.017453292519943,0.05235987755983
0.014003094126401,-0.011413452019769,-1.67671101267676,1.5707963267949,0.017453292519943,0.069813170079773
0.020314492050197,-0.021711104713709,-1.67136023213117,1.5707963267949,0.034906585039887,-0.087266462599717
0.019812726903025,-0.019441859958203,-1.67366901241581,1.5707963267949,0.034906585039887,-0.069813170079773
0.021939212662621,-0.019795613566041,-1.67285160452388,1.5707963267949,0.034906585039887,-0.05235987755983
0.021971847870201,-0.020487336190486,-1.6712838557591,1.5707963267949,0.034906585039887,-0.034906585039887
0.022852403632951,-0.018164469017303,-1.67354836300517,1.5707963267949,0.034906585039887,-0.017453292519943
0.021758261429652,-0.014899358311342,-1.6758538358601,1.5707963267949,0.034906585039887,-1.38777878078145E-17
0.023799780880134,-0.015660266973659,-1.67506748992431,1.5707963267949,0.034906585039887,0.017453292519943
0.023605684027463,-0.014821484621323,-1.675110314931,1.5707963267949,0.034906585039887,0.034906585039887
0.024569669526021,-0.013421548311688,-1.67674559492187,1.5707963267949,0.034906585039887,0.05235987755983
0.024150547638223,-0.014428874621348,-1.67488014049402,1.5707963267949,0.034906585039887,0.069813170079773
0.032675695441581,-0.023343587278499,-1.6710619083627,1.5707963267949,0.05235987755983,-0.087266462599717
0.032407493859546,-0.020884493117759,-1.67247265871124,1.5707963267949,0.05235987755983,-0.069813170079773
0.031852539167707,-0.021571989853558,-1.67087006650727,1.5707963267949,0.05235987755983,-0.05235987755983
0.032759746950859,-0.018370804765762,-1.6751554424055,1.5707963267949,0.05235987755983,-0.034906585039887
0.034444124360898,-0.018137828076694,-1.67380560019568,1.5707963267949,0.05235987755983,-0.017453292519943
0.0329659701341,-0.017184302328344,-1.67384020381608,1.5707963267949,0.05235987755983,-1.38777878078145E-17
0.034412445422292,-0.016308150462706,-1.67464495232888,1.5707963267949,0.05235987755983,0.017453292519943
0.035587596513969,-0.015122238429852,-1.67564920107503,1.5707963267949,0.05235987755983,0.034906585039887
0.034924282597747,-0.012943178153205,-1.67748853824234,1.5707963267949,0.05235987755983,0.05235987755983
0.035381213222439,-0.009708105057574,-1.67907421969218,1.5707963267949,0.05235987755983,0.069813170079773
0.04361343777974,-0.023705878652113,-1.67035762863618,1.5707963267949,0.069813170079773,-0.087266462599717
0.043618102608272,-0.024249440310457,-1.66891612213905,1.5707963267949,0.069813170079773,-0.069813170079773
0.044164077084721,-0.020813713165564,-1.67390094620461,1.5707963267949,0.069813170079773,-0.05235987755983
0.043880647640818,-0.020317004689368,-1.67194885258482,1.5707963267949,0.069813170079773,-0.034906585039887
0.045055283343171,-0.018668187556153,-1.67472309702497,1.5707963267949,0.069813170079773,-0.017453292519943
0.045935891173044,-0.016782518185985,-1.67515465557117,1.5707963267949,0.069813170079773,-1.38777878078145E-17
0.045815587428279,-0.017968299446112,-1.67351535592241,1.5707963267949,0.069813170079773,0.017453292519943
0.046941926495816,-0.017993417508558,-1.67389479594048,1.5707963267949,0.069813170079773,0.034906585039887
0.047039407549186,-0.012693504287532,-1.6784548186786,1.5707963267949,0.069813170079773,0.05235987755983
0.047181585098866,-0.015139514967994,-1.67555686482698,1.5707963267949,0.069813170079773,0.069813170079773
